TKID,ERWACHSENE_ABSATZ_1M,JUNIOREN_ABSATZ_1M,NICHT_ZUGEORDNET_ABSATZ_1M,REDUZIERT_1_2_ABSATZ_1M,VOLLPREIS_ABSATZ_1M,ERWACHSENE_ABSATZ_2M,JUNIOREN_ABSATZ_2M,NICHT_ZUGEORDNET_ABSATZ_2M,REDUZIERT_1_2_ABSATZ_2M,VOLLPREIS_ABSATZ_2M,ERWACHSENE_ABSATZ_3M,JUGEND_ABSATZ_3M,JUNIOREN_ABSATZ_3M,NICHT_ZUGEORDNET_ABSATZ_3M,REDUZIERT_1_2_ABSATZ_3M,VOLLPREIS_ABSATZ_3M,ERWACHSENE_ABSATZ_6M,JUGEND_ABSATZ_6M,JUNIOREN_ABSATZ_6M,NICHT_ZUGEORDNET_ABSATZ_6M,REDUZIERT_1_2_ABSATZ_6M,VOLLPREIS_ABSATZ_6M,ERWACHSENE_ABSATZ_9M,JUGEND_ABSATZ_9M,JUNIOREN_ABSATZ_9M,NICHT_ZUGEORDNET_ABSATZ_9M,REDUZIERT_1_2_ABSATZ_9M,VOLLPREIS_ABSATZ_9M,ERWACHSENE_ABSATZ_12M,JUGEND_ABSATZ_12M,JUNIOREN_ABSATZ_12M,NICHT_ZUGEORDNET_ABSATZ_12M,REDUZIERT_1_2_ABSATZ_12M,VOLLPREIS_ABSATZ_12M,MIN_DATE,MAX_DATE,ABSATZ_TOTAL,KUNDE_SEIT_TAGE,KUNDE_SEIT_MONATE
007e0ee6-1513-47f8-8e6c-ece21e9be98b,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-12,2020-12-12,1,19 days,1
0106a38c-8c92-47ad-af15-a3254d64c816,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,1.0,0.0,0.0,0.0,201.0,0.0,,,,,,,,,,,,,2020-06-01,2020-12-30,220,213 days,7
013e96b9-e83a-483f-b329-94032ae47594,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,2020-06-08,2020-12-09,8,206 days,7
01cd2067-ae61-4bb9-8c84-cb1d5f223aa1,1.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-07,2020-12-26,4,24 days,1
01ff9c8d-c92d-4631-b011-aa43e36b227f,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,,,,,,,,,,2020-06-01,2020-12-17,28,213 days,7
02c9b607-5524-4786-8324-a2fa09cb7e31,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,,,,,,,,,,,,,2020-06-03,2020-12-30,84,211 days,7
03820faa-a675-454b-ac55-81091e4bc70b,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,,,,,,,,,,,,,2020-06-06,2020-12-02,16,208 days,7
04e87651-c4a7-4989-8d60-d794f95e98c7,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,,,,,,,,,,,,,2020-06-20,2020-12-30,176,194 days,7
04eafd6f-54e9-46dc-84f8-320c1845c24f,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,2020-09-18,2020-12-03,2,104 days,4
05381d7a-4802-4302-9383-b4a4b6ad283e,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-12,2020-12-12,1,19 days,1
